Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Season,Season_Year
320.0,Ron Davis,22.0,ATL,SF,7.0,,9.6,1.1,5.0,0.229,0.6,1.9,0.308,0.3,0.7,1.0,0.3,1.0,0.0,1.3,2.9,,1976-77,1977
321.0,Henry Dickerson,25.0,ATL,PG,6.0,,10.5,1.0,2.0,0.5,0.8,1.3,0.625,0.0,0.3,0.3,1.8,0.2,0.0,2.2,2.8,,1976-77,1977
322.0,Eric Fernsten,23.0,CHI,C,5.0,0.0,12.2,0.6,3.0,0.2,1.6,2.2,0.727,1.8,1.4,3.2,1.2,0.2,0.6,1.8,2.8,,1976-77,1977
323.0,George Karl,25.0,SAS,PG,29.0,,8.7,0.9,2.5,0.342,1.0,1.4,0.69,0.1,0.4,0.6,1.6,0.3,0.0,1.2,2.7,,1976-77,1977
324.0,Terry Furlow,22.0,PHI,SG,32.0,0.0,5.4,1.1,3.1,0.34,0.5,0.6,0.889,0.6,0.7,1.2,0.6,0.2,0.1,0.3,2.6,,1976-77,1977
325.0,Phil Hicks,24.0,2TM,SF,37.0,0.0,7.1,1.1,2.4,0.461,0.3,0.4,0.846,0.7,1.1,1.8,0.6,0.2,0.0,1.0,2.5,,1976-77,1977
326.0,Phil Hicks,24.0,HOU,SF,2.0,,3.5,0.0,1.0,0.0,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,,1976-77,1977
327.0,Phil Hicks,24.0,CHI,SF,35.0,0.0,7.3,1.2,2.5,0.471,0.3,0.4,0.846,0.7,1.1,1.9,0.7,0.2,0.0,1.0,2.7,,1976-77,1977
328.0,Norm Cook,21.0,BOS,SF,25.0,,5.5,1.1,2.9,0.375,0.4,0.7,0.529,0.4,0.7,1.1,0.2,0.4,0.1,1.1,2.5,,1976-77,1977
329.0,John Lambert,24.0,CLE,PF,63.0,,8.8,1.1,2.5,0.427,0.4,0.6,0.694,1.0,1.5,2.4,0.5,0.3,0.3,1.2,2.5,,1976-77,1977
330.0,Allen Murphy,24.0,LAL,SG,2.0,,9.0,0.5,2.5,0.2,1.5,3.5,0.429,1.5,0.5,2.0,0.0,0.0,0.0,2.5,2.5,,1976-77,1977
331.0,Monte Towe,23.0,DEN,PG,51.0,,8.0,1.1,2.7,0.406,0.4,0.5,0.72,0.2,0.5,0.7,1.7,0.3,0.0,1.2,2.5,,1976-77,1977
332.0,Bob Weiss,34.0,WSB,PG,62.0,,12.4,1.0,2.1,0.466,0.5,0.6,0.784,0.2,0.9,1.1,2.1,0.9,0.1,1.1,2.5,,1976-77,1977
333.0,Jerome Anderson,23.0,IND,SG,27.0,,6.1,1.0,2.2,0.441,0.5,0.7,0.7,0.3,0.1,0.4,0.4,0.2,0.1,1.0,2.4,,1976-77,1977
334.0,Rudy White,23.0,HOU,SG,46.0,,8.0,1.0,2.3,0.443,0.3,0.5,0.6,0.3,0.6,0.9,0.8,0.2,0.0,0.8,2.4,,1976-77,1977
335.0,Rudy Hackett,23.0,2TM,PF,6.0,,7.7,0.5,1.7,0.3,1.3,2.3,0.571,0.7,1.5,2.2,0.5,0.0,0.2,1.3,2.3,,1976-77,1977
336.0,Rudy Hackett,23.0,NYN,PF,1.0,,8.0,0.0,2.0,0.0,2.0,5.0,0.4,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,,1976-77,1977
337.0,Rudy Hackett,23.0,IND,PF,5.0,,7.6,0.6,1.6,0.375,1.2,1.8,0.667,0.6,1.4,2.0,0.6,0.0,0.2,1.4,2.4,,1976-77,1977
