Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
1.0,Allen Iverson,23.0,PHI,SG,48.0,48.0,41.5,9.1,22.0,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,"MVP-4,NBA1",1998-99,1999
2.0,Shaquille O'Neal,26.0,LAL,C,49.0,49.0,34.8,10.4,18.1,0.576,0.0,0.0,0.0,10.4,18.0,0.577,0.576,5.5,10.2,0.54,3.8,6.9,10.7,2.3,0.7,1.7,2.5,3.2,26.3,"MVP-6,NBA2",1998-99,1999
3.0,Karl Malone,35.0,UTA,PF,49.0,49.0,37.4,8.0,16.3,0.493,0.0,0.0,0.0,8.0,16.2,0.494,0.493,7.7,9.8,0.788,2.2,7.3,9.4,4.1,1.3,0.6,3.3,2.7,23.8,"MVP-1,NBA1",1998-99,1999
4.0,Shareef Abdur-Rahim,22.0,VAN,SF,50.0,50.0,40.4,7.7,17.9,0.432,0.2,0.7,0.306,7.5,17.1,0.438,0.438,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,,1998-99,1999
5.0,Keith Van Horn,23.0,NJN,PF,42.0,42.0,37.5,7.7,17.9,0.428,0.4,1.3,0.302,7.3,16.6,0.438,0.439,6.1,7.1,0.859,2.7,5.8,8.5,1.5,1.0,1.3,3.2,3.2,21.8,,1998-99,1999
6.0,Tim Duncan,22.0,SAS,PF,50.0,50.0,39.3,8.4,16.9,0.495,0.0,0.1,0.143,8.3,16.8,0.498,0.495,4.9,7.2,0.69,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7,"MVP-3,DPOY-5,NBA1",1998-99,1999
7.0,Gary Payton,30.0,SEA,PG,50.0,50.0,40.2,8.0,18.5,0.434,1.7,5.6,0.295,6.4,12.8,0.495,0.479,4.0,5.5,0.721,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7,"MVP-9,DPOY-3,NBA2",1998-99,1999
8.0,Stephon Marbury,21.0,2TM,PG,49.0,49.0,38.7,7.7,18.0,0.428,1.3,4.0,0.335,6.4,14.0,0.455,0.465,4.5,5.7,0.799,0.8,2.1,2.9,8.9,1.2,0.2,3.3,2.6,21.3,,1998-99,1999
9.0,Stephon Marbury,21.0,MIN,PG,18.0,18.0,36.7,6.9,16.9,0.408,0.4,2.2,0.205,6.4,14.7,0.438,0.421,3.5,4.8,0.724,0.9,2.5,3.4,9.3,1.6,0.3,3.1,2.4,17.7,,1998-99,1999
10.0,Stephon Marbury,21.0,NJN,PG,31.0,31.0,39.8,8.2,18.7,0.439,1.9,5.1,0.367,6.3,13.6,0.466,0.489,5.1,6.2,0.832,0.6,1.9,2.6,8.7,1.0,0.1,3.5,2.6,23.4,,1998-99,1999
