Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
1.0,George Gervin,27.0,SAS,SG,78.0,,37.6,13.1,24.9,0.528,0.4,1.3,0.314,12.7,23.6,0.54,0.536,6.5,7.6,0.852,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,33.1,"MVP-3,AS,NBA1",1979-80,1980
2.0,World B. Free,26.0,SDC,SG,68.0,,38.0,10.8,22.9,0.474,0.1,0.4,0.36,10.7,22.5,0.476,0.477,8.4,11.2,0.753,1.9,1.6,3.5,4.2,1.2,0.5,3.4,2.9,30.2,AS,1979-80,1980
3.0,Adrian Dantley,24.0,UTA,SF,68.0,,39.3,10.7,18.6,0.576,0.0,0.0,0.0,10.7,18.6,0.577,0.576,6.5,7.7,0.842,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,28.0,AS,1979-80,1980
4.0,Julius Erving,29.0,PHI,SF,78.0,78.0,36.1,10.7,20.7,0.519,0.1,0.3,0.2,10.7,20.4,0.523,0.52,5.4,6.8,0.787,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9,"MVP-2,AS,NBA1",1979-80,1980
5.0,Moses Malone,24.0,HOU,C,82.0,82.0,38.3,9.5,18.9,0.502,0.0,0.1,0.0,9.5,18.8,0.504,0.502,6.9,9.5,0.719,7.0,7.5,14.5,1.8,1.0,1.3,3.7,2.6,25.8,"MVP-9,AS,NBA2",1979-80,1980
6.0,Kareem Abdul-Jabbar,32.0,LAL,C,82.0,,38.3,10.2,16.9,0.604,0.0,0.0,0.0,10.2,16.9,0.604,0.604,4.4,5.8,0.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,"MVP-1,AS,NBA1",1979-80,1980
7.0,Dan Issel,31.0,DEN,C,82.0,82.0,35.8,8.7,17.3,0.505,0.0,0.1,0.333,8.7,17.1,0.506,0.506,6.3,8.1,0.775,2.9,5.9,8.8,2.4,1.1,0.7,2.0,2.3,23.8,,1979-80,1980
8.0,Elvin Hayes,34.0,WSB,PF,81.0,,39.3,9.4,20.7,0.454,0.0,0.2,0.231,9.4,20.5,0.456,0.455,4.1,5.9,0.699,3.3,7.7,11.1,1.6,0.8,2.3,2.7,3.8,23.0,AS,1979-80,1980
9.0,Otis Birdsong,24.0,KCK,SG,82.0,,35.2,9.5,18.9,0.505,0.1,0.4,0.278,9.4,18.4,0.511,0.508,3.5,5.0,0.694,2.1,2.0,4.0,2.5,1.7,0.3,2.2,2.8,22.7,AS,1979-80,1980
10.0,Mike Mitchell,24.0,CLE,SF,82.0,82.0,34.2,9.5,18.1,0.523,0.0,0.1,0.0,9.5,18.0,0.525,0.523,3.3,4.2,0.787,2.5,4.7,7.2,1.1,0.9,0.9,2.1,3.2,22.2,,1979-80,1980
11.0,Gus Williams,26.0,SEA,PG,82.0,82.0,36.2,9.0,18.7,0.482,0.1,0.4,0.194,8.9,18.3,0.489,0.484,4.0,5.1,0.788,1.5,1.8,3.4,4.8,2.4,0.5,2.2,2.0,22.1,"MVP-8,NBA2",1979-80,1980
12.0,Paul Westphal,29.0,PHO,SG,82.0,82.0,32.5,8.4,16.1,0.525,0.3,1.1,0.28,8.1,14.9,0.544,0.535,4.7,5.4,0.862,0.6,1.7,2.3,5.1,1.5,0.4,2.5,2.0,21.9,"AS,NBA1",1979-80,1980
13.0,Bill Cartwright,22.0,NYK,C,82.0,82.0,38.4,8.1,14.8,0.547,0.0,0.0,,8.1,14.8,0.547,0.547,5.5,6.9,0.797,2.4,6.5,8.9,2.0,0.6,1.2,2.7,3.4,21.7,AS,1979-80,1980
