Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
1.0,Bernard King,28.0,NYK,SF,55.0,55.0,37.5,12.6,23.7,0.53,0.0,0.2,0.1,12.5,23.5,0.534,0.531,7.7,10.0,0.772,2.1,3.7,5.8,3.7,1.3,0.3,3.7,3.5,32.9,"MVP-7,AS,NBA1",1984-85,1985
2.0,Larry Bird,28.0,BOS,SF,80.0,77.0,39.5,11.5,22.0,0.522,0.7,1.6,0.427,10.8,20.4,0.529,0.538,5.0,5.7,0.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,"MVP-1,AS,NBA1",1984-85,1985
3.0,Michael Jordan,21.0,CHI,SG,82.0,82.0,38.3,10.2,19.8,0.515,0.1,0.6,0.173,10.1,19.2,0.526,0.518,7.7,9.1,0.845,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2,"MVP-6,ROY-1,AS,NBA2",1984-85,1985
4.0,Purvis Short,27.0,GSW,SF,78.0,77.0,39.5,10.5,22.8,0.46,0.6,1.9,0.313,9.9,20.9,0.474,0.473,6.4,7.9,0.817,2.0,3.1,5.1,3.0,1.5,0.3,3.1,3.3,28.0,MVP-20,1984-85,1985
5.0,Alex English,31.0,DEN,SF,81.0,81.0,36.1,11.6,22.4,0.518,0.0,0.1,0.2,11.6,22.3,0.519,0.518,4.7,5.7,0.829,2.5,3.1,5.7,4.2,1.2,0.6,3.1,3.2,27.9,"MVP-12,AS",1984-85,1985
6.0,Dominique Wilkins,25.0,ATL,SF,81.0,81.0,37.3,10.5,23.3,0.451,0.3,1.0,0.309,10.2,22.3,0.457,0.458,6.0,7.4,0.806,2.8,4.1,6.9,2.5,1.7,0.7,2.8,2.1,27.4,MVP-17,1984-85,1985
7.0,Adrian Dantley,29.0,UTA,SF,55.0,46.0,35.8,9.3,17.5,0.531,0.0,0.0,,9.3,17.5,0.531,0.531,8.0,9.9,0.804,2.7,3.2,5.9,3.4,1.0,0.1,3.1,2.4,26.6,AS,1984-85,1985
8.0,Mark Aguirre,25.0,DAL,SF,80.0,79.0,33.7,9.9,19.6,0.506,0.3,1.1,0.318,9.6,18.6,0.517,0.515,5.5,7.3,0.759,2.4,3.6,6.0,3.1,0.8,0.3,3.2,3.1,25.7,,1984-85,1985
9.0,Moses Malone,29.0,PHI,C,79.0,79.0,37.4,7.6,16.3,0.469,0.0,0.0,0.0,7.6,16.2,0.47,0.469,9.3,11.4,0.815,4.9,8.2,13.1,1.6,0.8,1.6,3.6,2.7,24.6,"MVP-3,AS,NBA1",1984-85,1985
10.0,Terry Cummings,23.0,MIL,PF,79.0,78.0,34.5,9.6,19.4,0.495,0.0,0.0,0.0,9.6,19.4,0.496,0.495,4.3,5.9,0.741,3.1,6.0,9.1,2.9,1.5,0.8,2.4,3.3,23.6,"MVP-5,AS,NBA2",1984-85,1985
11.0,Calvin Natt,28.0,DEN,PF,78.0,76.0,34.1,8.8,16.1,0.546,0.0,0.0,0.0,8.8,16.1,0.547,0.546,5.7,7.2,0.793,2.7,5.1,7.8,3.1,1.0,0.4,2.4,2.3,23.3,"MVP-11,AS",1984-85,1985
12.0,Eddie Johnson,25.0,KCK,SF,82.0,81.0,36.9,9.4,19.1,0.491,0.2,0.7,0.241,9.2,18.4,0.5,0.496,4.0,4.5,0.871,1.8,3.1,5.0,3.3,1.0,0.3,2.7,2.9,22.9,,1984-85,1985
13.0,Orlando Woolridge,25.0,CHI,SF,77.0,76.0,36.6,8.8,15.9,0.554,0.0,0.1,0.0,8.8,15.8,0.557,0.554,5.3,6.8,0.785,2.1,3.6,5.6,1.8,0.8,0.5,2.3,2.4,22.9,,1984-85,1985
14.0,Darrell Griffith,26.0,UTA,SG,78.0,78.0,35.6,9.3,20.4,0.457,1.2,3.3,0.358,8.2,17.1,0.476,0.486,2.8,3.8,0.725,1.6,2.8,4.4,3.1,1.7,0.4,3.2,2.3,22.6,,1984-85,1985
15.0,World B. Free,31.0,CLE,SG,71.0,50.0,31.7,8.6,18.7,0.459,1.0,2.7,0.368,7.6,16.0,0.474,0.485,4.3,5.8,0.749,0.9,2.1,3.0,4.5,1.1,0.2,2.0,2.3,22.5,MVP-20,1984-85,1985
16.0,Kiki Vandeweghe,26.0,POR,SF,72.0,69.0,34.8,8.6,16.1,0.534,0.2,0.5,0.333,8.4,15.6,0.54,0.538,5.1,5.7,0.896,1.0,2.1,3.2,1.5,0.5,0.3,1.6,1.6,22.4,,1984-85,1985
17.0,Mike Mitchell,29.0,SAS,SF,82.0,82.0,34.8,9.5,19.0,0.497,0.1,0.3,0.217,9.4,18.7,0.502,0.499,3.3,4.2,0.777,1.8,3.3,5.1,1.8,0.7,0.3,1.8,2.7,22.2,,1984-85,1985
18.0,Ralph Sampson,24.0,HOU,PF,82.0,82.0,37.6,9.2,18.3,0.502,0.0,0.1,0.0,9.2,18.2,0.504,0.502,3.7,5.5,0.676,2.8,7.6,10.4,2.7,1.0,2.0,4.0,3.7,22.1,"MVP-10,AS,NBA2",1984-85,1985
19.0,Derek Smith,23.0,LAC,SG,80.0,80.0,34.5,8.5,15.9,0.537,0.0,0.2,0.158,8.5,15.7,0.542,0.538,5.0,6.3,0.794,2.2,3.2,5.3,2.7,1.0,0.7,2.9,4.0,22.1,,1984-85,1985
