Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
1.0,Michael Jordan,34.0,CHI,SG,82.0,82.0,38.8,10.7,23.1,0.465,0.4,1.5,0.238,10.4,21.5,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,"MVP-1,DPOY-4,AS,NBA1",1997-98,1998
2.0,Shaquille O'Neal,25.0,LAL,C,60.0,57.0,36.3,11.2,19.1,0.584,0.0,0.0,,11.2,19.1,0.584,0.584,6.0,11.4,0.527,3.5,7.9,11.4,2.4,0.7,2.4,2.9,3.2,28.3,"MVP-4,AS,NBA1",1997-98,1998
3.0,Karl Malone,34.0,UTA,PF,81.0,81.0,37.4,9.6,18.2,0.53,0.0,0.1,0.333,9.6,18.1,0.531,0.531,7.8,10.2,0.761,2.3,8.0,10.3,3.9,1.2,0.9,3.0,2.9,27.0,"MVP-2,AS,NBA1",1997-98,1998
4.0,Glenn Robinson,25.0,MIL,SF,56.0,56.0,41.0,9.5,20.3,0.47,0.4,1.2,0.385,9.1,19.1,0.475,0.481,3.8,4.8,0.808,1.5,4.0,5.5,2.8,1.2,0.6,3.6,2.9,23.4,,1997-98,1998
5.0,Mitch Richmond,32.0,SAC,SG,70.0,70.0,36.7,7.8,17.4,0.445,1.9,4.8,0.389,5.9,12.7,0.466,0.498,5.8,6.7,0.864,0.7,2.6,3.3,4.0,1.3,0.2,2.6,2.2,23.2,"MVP-15,AS,NBA3",1997-98,1998
6.0,Antoine Walker,21.0,BOS,PF,82.0,82.0,39.9,8.8,20.8,0.423,1.1,3.6,0.312,7.7,17.2,0.447,0.45,3.7,5.8,0.645,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4,"MVP-12,AS",1997-98,1998
7.0,Shareef Abdur-Rahim,21.0,VAN,SF,82.0,82.0,36.0,8.0,16.4,0.485,0.3,0.6,0.412,7.7,15.8,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3,,1997-98,1998
8.0,Glen Rice,30.0,CHH,SF,82.0,82.0,40.2,7.7,16.9,0.457,1.6,3.7,0.433,6.1,13.2,0.464,0.504,5.2,6.1,0.849,1.1,3.2,4.3,2.2,0.9,0.3,2.2,2.4,22.3,"MVP-11,AS,NBA3",1997-98,1998
9.0,Allen Iverson,22.0,PHI,PG,80.0,80.0,39.4,8.1,17.6,0.461,0.9,2.9,0.298,7.2,14.7,0.494,0.486,4.9,6.7,0.729,1.1,2.6,3.7,6.2,2.2,0.3,3.1,2.5,22.0,,1997-98,1998
10.0,Chris Webber,24.0,WAS,C,71.0,71.0,39.6,9.1,18.9,0.482,0.9,2.9,0.317,8.2,16.0,0.512,0.507,2.8,4.7,0.589,2.5,7.0,9.5,3.8,1.6,1.7,2.6,3.8,21.9,,1997-98,1998
11.0,David Robinson,32.0,SAS,C,73.0,73.0,33.7,7.5,14.6,0.511,0.0,0.1,0.25,7.4,14.5,0.512,0.511,6.6,9.0,0.735,3.3,7.3,10.6,2.7,0.9,2.6,2.8,2.8,21.6,"MVP-7,DPOY-3,AS,NBA2",1997-98,1998
12.0,Michael Finley,24.0,DAL,SF,82.0,82.0,41.4,8.2,18.4,0.449,1.1,3.0,0.357,7.2,15.4,0.466,0.477,4.0,5.1,0.784,1.8,3.5,5.3,4.9,1.6,0.4,2.7,2.0,21.5,MVP-18,1997-98,1998
13.0,Latrell Sprewell,27.0,GSW,SG,14.0,13.0,39.1,7.9,19.8,0.397,0.6,3.4,0.188,7.2,16.4,0.441,0.413,5.0,6.7,0.745,0.5,3.1,3.6,4.9,1.4,0.4,3.1,1.9,21.4,,1997-98,1998
14.0,Tim Duncan,21.0,SAS,PF,82.0,82.0,39.1,8.6,15.7,0.549,0.0,0.1,0.0,8.6,15.6,0.553,0.549,3.9,5.9,0.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1,"MVP-5,ROY-1,DPOY-5,AS,NBA1",1997-98,1998
15.0,Grant Hill,25.0,DET,SF,81.0,81.0,40.7,7.6,16.8,0.452,0.0,0.3,0.143,7.6,16.5,0.457,0.453,5.9,8.0,0.74,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1,"MVP-9,AS,NBA2",1997-98,1998
16.0,Patrick Ewing,35.0,NYK,C,26.0,26.0,32.6,7.8,15.5,0.504,0.0,0.1,0.0,7.8,15.4,0.506,0.504,5.2,7.2,0.72,2.3,7.9,10.2,1.1,0.6,2.2,3.0,2.8,20.8,,1997-98,1998
17.0,Tom Gugliotta,28.0,MIN,SF,41.0,41.0,38.6,7.8,15.5,0.502,0.0,0.4,0.118,7.7,15.1,0.513,0.504,4.5,5.4,0.821,2.6,6.1,8.7,4.1,1.5,0.5,2.7,2.5,20.1,,1997-98,1998
18.0,Steve Smith,28.0,ATL,SG,73.0,73.0,39.1,6.7,15.1,0.444,1.3,3.8,0.351,5.4,11.3,0.475,0.488,5.3,6.2,0.855,1.8,2.4,4.2,4.0,1.0,0.4,2.4,3.0,20.1,AS,1997-98,1998
19.0,Eric Williams,25.0,DEN,SF,4.0,4.0,36.3,6.0,15.3,0.393,0.0,0.0,,6.0,15.3,0.393,0.393,7.8,11.3,0.689,2.5,2.8,5.3,3.0,1.0,0.0,2.3,2.3,19.8,,1997-98,1998
20.0,Isaiah Rider,26.0,POR,SG,74.0,66.0,37.6,7.4,17.6,0.423,1.8,5.7,0.321,5.6,11.9,0.472,0.475,3.0,3.6,0.828,1.3,3.3,4.7,3.1,0.7,0.3,2.5,2.5,19.7,,1997-98,1998
21.0,Keith Van Horn,22.0,NJN,PF,62.0,62.0,37.5,7.2,16.9,0.426,1.1,3.6,0.308,6.1,13.3,0.458,0.459,4.2,4.9,0.846,2.3,4.3,6.6,1.7,1.0,0.4,2.6,3.5,19.7,ROY-2,1997-98,1998
22.0,Sam Cassell,28.0,NJN,PG,75.0,72.0,34.7,6.8,15.4,0.441,0.2,1.1,0.188,6.6,14.3,0.46,0.448,5.8,6.8,0.86,1.0,2.1,3.0,8.0,1.6,0.3,3.6,3.5,19.6,,1997-98,1998
23.0,Ray Allen,22.0,MIL,SG,82.0,82.0,40.1,6.9,16.0,0.428,1.6,4.5,0.364,5.2,11.5,0.453,0.479,4.2,4.8,0.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3.0,19.5,,1997-98,1998
24.0,Reggie Miller,32.0,IND,SG,81.0,81.0,34.5,6.4,13.3,0.477,2.0,4.7,0.429,4.3,8.6,0.504,0.553,4.7,5.4,0.868,0.6,2.3,2.9,2.1,1.0,0.1,1.6,1.8,19.5,"MVP-16,AS,NBA3",1997-98,1998
25.0,Vin Baker,26.0,SEA,C,82.0,82.0,35.9,7.7,14.2,0.542,0.0,0.1,0.143,7.7,14.1,0.545,0.543,3.8,6.4,0.591,3.5,4.5,8.0,1.9,1.1,1.0,2.1,3.4,19.2,"MVP-8,AS,NBA2",1997-98,1998
26.0,Alonzo Mourning,27.0,MIA,C,58.0,56.0,33.4,6.9,12.6,0.551,0.0,0.0,,6.9,12.6,0.551,0.551,5.3,8.0,0.665,3.3,6.3,9.6,0.9,0.7,2.2,3.1,3.6,19.2,,1997-98,1998
27.0,Gary Payton,29.0,SEA,PG,82.0,82.0,38.4,7.1,15.6,0.453,1.6,4.8,0.338,5.4,10.7,0.505,0.505,3.4,4.6,0.744,0.9,3.6,4.6,8.3,2.3,0.2,2.8,2.4,19.2,"MVP-3,DPOY-2,AS,NBA1",1997-98,1998
28.0,Scottie Pippen,32.0,CHI,SF,44.0,44.0,37.5,7.2,16.0,0.447,1.4,4.4,0.318,5.8,11.6,0.496,0.491,3.4,4.4,0.777,1.2,4.0,5.2,5.8,1.8,1.0,2.5,2.6,19.1,"MVP-10,DPOY-9,NBA3",1997-98,1998
29.0,Tim Hardaway,31.0,MIA,PG,81.0,81.0,37.4,6.9,16.0,0.431,1.9,5.5,0.351,5.0,10.5,0.472,0.49,3.2,4.1,0.781,0.6,3.1,3.7,8.3,1.7,0.2,2.8,2.5,18.9,"MVP-6,AS,NBA2",1997-98,1998
30.0,Kevin Garnett,21.0,MIN,PF,82.0,82.0,39.3,7.7,15.8,0.491,0.0,0.2,0.188,7.7,15.6,0.495,0.492,3.0,4.0,0.738,2.7,6.9,9.6,4.2,1.7,1.8,2.3,2.7,18.5,"DPOY-11,AS",1997-98,1998
31.0,Juwan Howard,24.0,WAS,PF,64.0,64.0,40.0,7.2,15.5,0.467,0.0,0.0,0.0,7.2,15.5,0.468,0.467,4.0,5.6,0.721,2.5,4.5,7.0,3.3,1.3,0.4,2.9,3.5,18.5,,1997-98,1998
32.0,Clyde Drexler,35.0,HOU,SG,70.0,70.0,35.3,6.5,15.1,0.427,1.5,4.8,0.317,4.9,10.4,0.477,0.477,4.0,4.9,0.801,1.5,3.4,4.9,5.5,1.8,0.6,2.7,2.8,18.4,,1997-98,1998
33.0,Allan Houston,26.0,NYK,SG,82.0,82.0,34.7,7.0,15.6,0.447,1.0,2.6,0.385,6.0,13.0,0.46,0.479,3.5,4.1,0.851,0.5,2.8,3.3,2.6,0.8,0.3,2.4,2.5,18.4,,1997-98,1998
