Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
1.0,George Gervin,26.0,SAS,SF,80.0,,36.1,11.8,21.9,0.541,5.9,7.1,0.826,1.8,3.2,5.0,2.7,1.7,1.1,3.6,3.4,29.6,"MVP-2,AS,NBA1",1978-79,1979
2.0,World B. Free,25.0,SDC,PG,78.0,,37.9,10.2,21.2,0.481,8.4,11.1,0.756,1.6,2.2,3.9,4.4,1.4,0.4,3.8,3.2,28.8,"MVP-6,NBA2",1978-79,1979
3.0,Marques Johnson,22.0,MIL,SF,77.0,,36.1,10.6,19.4,0.55,4.3,5.7,0.76,2.8,4.9,7.6,3.0,1.5,1.2,2.2,2.4,25.6,"AS,NBA1",1978-79,1979
4.0,Bob McAdoo,27.0,2TM,C,60.0,32.0,37.2,9.9,18.8,0.529,4.9,7.5,0.656,2.2,6.5,8.7,2.8,1.2,1.1,3.6,3.2,24.8,,1978-79,1979
5.0,Bob McAdoo,27.0,NYK,PF,40.0,32.0,39.9,10.7,19.8,0.541,5.5,8.4,0.651,2.4,7.1,9.5,3.2,1.6,1.2,3.8,3.4,26.9,,1978-79,1979
6.0,Bob McAdoo,27.0,BOS,C,20.0,,31.9,8.4,16.7,0.5,3.9,5.8,0.67,1.8,5.3,7.1,2.0,0.6,1.0,3.2,2.8,20.6,,1978-79,1979
7.0,Moses Malone,23.0,HOU,C,82.0,82.0,41.3,8.7,16.2,0.54,7.3,9.9,0.739,7.2,10.5,17.6,1.8,1.0,1.5,4.0,2.7,24.8,"MVP-1,AS,NBA1",1978-79,1979
8.0,David Thompson,24.0,DEN,SG,76.0,,35.1,9.1,17.8,0.512,5.8,7.7,0.753,1.4,2.2,3.6,3.0,0.9,1.1,2.4,2.4,24.0,"MVP-8,AS",1978-79,1979
9.0,Paul Westphal,28.0,PHO,SG,81.0,,32.6,9.9,18.5,0.535,4.2,5.0,0.837,0.4,1.5,2.0,6.5,1.4,0.3,2.9,2.0,24.0,"AS,NBA1",1978-79,1979
10.0,Kareem Abdul-Jabbar,31.0,LAL,C,80.0,,39.5,9.7,16.8,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8,"MVP-4,AS,NBA2",1978-79,1979
11.0,Artis Gilmore,29.0,CHI,C,82.0,82.0,39.8,9.2,16.0,0.575,5.3,7.2,0.739,3.6,9.1,12.7,3.3,0.6,1.9,3.8,3.4,23.7,AS,1978-79,1979
12.0,Walter Davis,24.0,PHO,SF,79.0,,30.8,9.7,17.2,0.561,4.3,5.2,0.831,1.4,3.3,4.7,4.3,1.9,0.3,3.7,3.2,23.6,"MVP-10,AS,NBA2",1978-79,1979
13.0,Bob Lanier,30.0,DET,C,53.0,,34.6,9.2,17.9,0.515,5.2,6.9,0.749,3.1,6.2,9.3,2.6,0.9,1.4,3.3,3.4,23.6,AS,1978-79,1979
14.0,Julius Erving,28.0,PHI,SF,78.0,76.0,35.9,9.2,18.7,0.491,4.8,6.4,0.745,2.5,4.7,7.2,4.6,1.7,1.3,4.0,2.7,23.1,AS,1978-79,1979
15.0,John Drew,24.0,ATL,SF,79.0,,30.5,8.2,17.4,0.473,6.3,8.6,0.731,2.8,3.8,6.6,1.5,1.6,0.2,2.7,4.2,22.7,,1978-79,1979
16.0,Pete Maravich,31.0,NOJ,SG,49.0,,37.2,8.9,21.1,0.421,4.8,5.7,0.841,0.7,1.8,2.5,5.0,1.2,0.4,4.1,2.1,22.6,AS,1978-79,1979
17.0,George McGinnis,28.0,DEN,PF,76.0,,33.6,7.9,16.8,0.474,6.7,10.1,0.665,3.4,8.0,11.4,3.7,1.7,0.7,4.6,4.2,22.6,AS,1978-79,1979
18.0,John Williamson,27.0,NJN,SG,74.0,,33.1,8.6,18.5,0.465,5.0,5.9,0.854,0.7,1.9,2.6,3.4,1.2,0.2,3.1,2.9,22.2,,1978-79,1979
19.0,Larry Kenon,26.0,SAS,PF,81.0,,36.4,9.2,18.3,0.504,3.6,4.3,0.845,3.2,6.5,9.8,4.1,1.9,0.2,3.7,2.4,22.1,AS,1978-79,1979
20.0,Campy Russell,27.0,CLE,SF,74.0,,38.6,8.1,17.1,0.476,5.6,7.1,0.797,2.0,4.8,6.8,4.7,1.3,0.3,3.5,3.0,21.9,AS,1978-79,1979
21.0,Elvin Hayes,33.0,WSB,PF,82.0,,37.9,8.8,18.0,0.487,4.3,6.5,0.654,3.8,8.3,12.1,1.7,0.9,2.3,2.9,3.8,21.8,"MVP-3,AS,NBA1",1978-79,1979
22.0,Otis Birdsong,23.0,KCK,SG,82.0,82.0,34.6,9.0,17.8,0.509,3.6,5.0,0.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7,AS,1978-79,1979
23.0,Bernard King,22.0,NJN,SF,82.0,,34.9,8.7,16.6,0.522,4.3,7.5,0.564,3.1,5.1,8.2,3.6,1.4,0.5,3.9,4.0,21.6,,1978-79,1979
24.0,Truck Robinson,27.0,2TM,PF,69.0,,36.8,8.2,16.7,0.491,4.7,6.7,0.701,2.8,8.8,11.6,1.6,0.7,1.1,3.4,3.0,21.1,,1978-79,1979
