Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
320.0,Dennis Awtrey,29.0,PHO,C,81.0,,20.0,1.4,3.3,0.424,0.9,1.3,0.633,1.2,2.5,3.7,2.0,0.2,0.3,1.6,1.9,3.6,,1977-78,1978
321.0,Rudy White,24.0,HOU,SG,21.0,,10.4,1.5,4.0,0.365,0.7,0.9,0.778,0.4,0.6,1.0,1.0,0.4,0.0,1.0,1.1,3.6,,1977-78,1978
322.0,Mike Dunleavy,23.0,2TM,PG,15.0,0.0,7.9,1.3,3.3,0.4,0.9,1.2,0.722,0.1,0.6,0.7,1.9,0.6,0.1,0.8,0.8,3.5,,1977-78,1978
323.0,Mike Dunleavy,23.0,PHI,PG,4.0,0.0,4.3,0.8,1.8,0.429,0.5,0.5,1.0,0.0,0.3,0.3,1.5,0.3,0.0,0.8,0.0,2.0,,1977-78,1978
324.0,Mike Dunleavy,23.0,HOU,PG,11.0,,9.3,1.5,3.9,0.395,1.0,1.5,0.688,0.1,0.7,0.8,2.0,0.7,0.1,0.8,1.1,4.1,,1977-78,1978
325.0,Dave Wohl,28.0,NJN,PG,10.0,,11.8,1.2,3.4,0.353,1.1,1.2,0.917,0.1,0.3,0.4,1.3,0.3,0.0,1.6,2.4,3.5,,1977-78,1978
326.0,Steve Green,24.0,IND,SF,44.0,,10.2,1.3,2.9,0.438,0.9,1.3,0.696,0.7,0.9,1.6,0.7,0.3,0.0,0.5,1.5,3.4,,1977-78,1978
327.0,Gus Bailey,26.0,NOJ,SG,48.0,,9.4,1.2,2.9,0.424,0.8,1.4,0.552,0.9,0.8,1.7,0.8,0.4,0.3,0.7,1.0,3.2,,1977-78,1978
328.0,Jacky Dorsey,23.0,2TM,SF,11.0,,8.0,1.1,2.8,0.387,0.9,1.5,0.625,1.0,1.7,2.7,0.5,0.2,0.3,0.5,1.5,3.1,,1977-78,1978
329.0,Jacky Dorsey,23.0,DEN,SF,7.0,,5.3,0.4,1.7,0.25,0.4,0.7,0.6,0.7,2.1,2.9,0.3,0.3,0.3,0.4,1.3,1.3,,1977-78,1978
330.0,Jacky Dorsey,23.0,POR,SF,4.0,,12.8,2.3,4.8,0.474,1.8,2.8,0.636,1.5,1.0,2.5,0.8,0.0,0.3,0.8,2.0,6.3,,1977-78,1978
331.0,Scott Lloyd,25.0,2TM,C,70.0,,9.7,1.1,2.8,0.415,0.7,1.0,0.721,0.7,1.3,2.1,0.6,0.2,0.2,0.6,1.5,3.0,,1977-78,1978
332.0,Scott Lloyd,25.0,MIL,C,14.0,,8.0,0.9,2.4,0.364,0.4,0.7,0.6,0.5,1.4,1.9,0.6,0.2,0.4,0.5,1.6,2.1,,1977-78,1978
333.0,Scott Lloyd,25.0,BUF,C,56.0,,10.1,1.2,2.9,0.425,0.8,1.0,0.741,0.8,1.3,2.1,0.6,0.2,0.2,0.6,1.5,3.2,,1977-78,1978
334.0,Harvey Catchings,26.0,PHI,C,61.0,2.0,12.3,1.1,2.9,0.393,0.6,0.9,0.618,1.7,2.4,4.1,0.6,0.3,1.1,0.7,2.0,2.9,,1977-78,1978
335.0,Kevin Restani,26.0,2TM,PF,54.0,,10.1,1.3,3.1,0.431,0.2,0.2,0.692,0.7,1.3,2.0,0.6,0.1,0.1,0.3,0.8,2.8,,1977-78,1978
336.0,Kevin Restani,26.0,MIL,PF,8.0,,10.5,1.6,3.5,0.464,0.0,0.3,0.0,0.5,1.3,1.8,1.1,0.0,0.1,0.3,0.5,3.3,,1977-78,1978
337.0,Kevin Restani,26.0,KCK,PF,46.0,,10.1,1.3,3.0,0.424,0.2,0.2,0.818,0.7,1.3,2.0,0.5,0.1,0.1,0.3,0.8,2.8,,1977-78,1978
338.0,Robert Smith,22.0,DEN,PG,45.0,,8.4,1.1,2.2,0.515,0.5,0.5,0.875,0.1,0.7,0.8,0.9,0.4,0.1,0.4,1.2,2.7,,1977-78,1978
339.0,Eddie Owens,24.0,BUF,SF,8.0,,7.9,1.1,2.6,0.429,0.4,0.8,0.5,0.6,0.6,1.3,0.6,0.1,0.0,0.4,1.1,2.6,,1977-78,1978
340.0,Tom Boerwinkle,32.0,CHI,C,22.0,0.0,10.3,1.0,2.3,0.46,0.5,0.6,0.769,0.6,2.0,2.7,2.0,0.1,0.2,1.2,1.6,2.5,,1977-78,1978
341.0,Brad Davis,22.0,LAL,PG,33.0,,10.1,0.9,2.2,0.417,0.7,0.9,0.759,0.1,0.9,1.1,2.5,0.5,0.1,1.1,1.2,2.5,,1977-78,1978
342.0,Dale Schlueter,32.0,POR,C,10.0,,10.9,0.8,1.9,0.421,0.9,1.8,0.5,0.5,1.6,2.1,1.8,0.3,0.2,1.5,2.0,2.5,,1977-78,1978
343.0,Scott Sims,22.0,SAS,PG,12.0,,7.9,0.8,2.2,0.385,0.8,1.3,0.667,0.4,0.7,1.1,1.7,0.3,0.0,1.6,1.3,2.5,,1977-78,1978
344.0,Bobby Wilson,27.0,IND,SG,12.0,,7.2,1.2,3.0,0.389,0.2,0.3,0.667,0.5,0.5,1.0,0.7,0.2,0.1,0.5,1.3,2.5,,1977-78,1978
345.0,Mel Bennett,23.0,IND,PF,31.0,,9.2,0.7,2.6,0.284,0.9,1.5,0.622,1.6,1.4,3.0,0.7,0.4,0.2,1.0,1.7,2.4,,1977-78,1978
346.0,Phil Jackson,32.0,NYK,PF,63.0,0.0,10.4,0.9,1.8,0.478,0.7,0.9,0.768,0.5,1.3,1.7,0.7,0.5,0.2,0.7,1.7,2.4,,1977-78,1978
347.0,Rich Laurel,23.0,MIL,SG,10.0,,5.7,1.0,3.1,0.323,0.4,0.4,1.0,0.6,0.4,1.0,0.3,0.3,0.1,0.4,1.0,2.4,,1977-78,1978
348.0,Kim Hughes,25.0,NJN,C,56.0,,15.3,1.0,2.9,0.356,0.2,0.5,0.31,1.7,2.6,4.3,0.7,0.9,0.9,1.0,2.9,2.2,,1977-78,1978
349.0,Robin Jones,23.0,HOU,C,12.0,,5.5,0.9,1.7,0.55,0.3,0.8,0.4,0.4,0.8,1.2,0.2,0.1,0.1,0.6,1.3,2.2,,1977-78,1978
350.0,Glenn Mosley,22.0,PHI,PF,6.0,0.0,3.5,0.8,2.2,0.385,0.5,1.2,0.429,0.0,0.8,0.8,0.3,0.0,0.0,0.8,0.8,2.2,,1977-78,1978
351.0,Claude Terry,28.0,ATL,SG,27.0,,6.1,0.9,2.5,0.368,0.3,0.4,0.818,0.1,0.4,0.6,0.3,0.2,0.0,0.3,0.5,2.2,,1977-78,1978
352.0,Al Fleming,23.0,SEA,SF,20.0,,4.9,0.8,1.6,0.484,0.5,0.9,0.588,0.7,0.9,1.5,0.4,0.0,0.3,0.8,0.8,2.0,,1977-78,1978
353.0,Cliff Pondexter,23.0,CHI,PF,44.0,0.0,12.1,0.8,1.9,0.435,0.3,0.5,0.7,0.8,2.1,3.0,2.0,0.4,0.3,0.7,1.5,2.0,,1977-78,1978
354.0,Bob Bigelow,24.0,2TM,SF,5.0,,4.8,0.8,2.6,0.308,0.0,0.0,,0.6,1.2,1.8,0.0,0.0,0.0,0.0,0.6,1.6,,1977-78,1978
355.0,Bob Bigelow,24.0,KCK,SF,1.0,,7.0,1.0,1.0,1.0,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,,1977-78,1978
356.0,Bob Bigelow,24.0,BOS,SF,4.0,,4.3,0.8,3.0,0.25,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.3,1.5,,1977-78,1978
357.0,Larry Johnson,23.0,BUF,SG,4.0,,9.5,0.8,3.3,0.231,0.0,0.5,0.0,0.3,1.0,1.3,1.8,1.3,0.5,0.8,0.8,1.5,,1977-78,1978
358.0,George Karl,26.0,SAS,PG,4.0,,7.5,0.5,1.5,0.333,0.5,0.5,1.0,0.0,1.3,1.3,1.3,0.3,0.0,1.0,1.5,1.5,,1977-78,1978
359.0,Jim Ard,29.0,2TM,C,15.0,0.0,8.3,0.5,1.1,0.471,0.2,0.3,0.6,0.6,1.8,2.4,0.5,0.0,0.0,0.9,1.3,1.3,,1977-78,1978
360.0,Jim Ard,29.0,BOS,C,1.0,,9.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,,1977-78,1978
361.0,Jim Ard,29.0,CHI,C,14.0,0.0,8.3,0.6,1.1,0.5,0.1,0.2,0.667,0.6,1.7,2.3,0.5,0.0,0.0,1.0,1.3,1.3,,1977-78,1978
362.0,Wayman Britt,25.0,DET,SG,7.0,,2.3,0.4,1.4,0.3,0.4,0.6,0.75,0.1,0.4,0.6,0.3,0.1,0.0,0.1,0.4,1.3,,1977-78,1978
363.0,Ticky Burden,24.0,NYK,SG,2.0,0.0,7.5,0.5,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,,1977-78,1978
364.0,Norm Cook,22.0,DEN,SF,2.0,,5.0,0.5,1.5,0.333,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,0.0,2.0,1.0,,1977-78,1978
